Date,Game,Popularity,Views,Channel
9/11/18,Call of Duty: Black Ops 4,143142,140209,1214
9/11/18,Fortnite,113518,111247,8255
9/11/18,League of Legends,65357,63898,2077
9/11/18,IRL,46393,47307,763
9/11/18,Marvel's Spider-Man,36483,35983,1821
9/11/18,World of Warcraft,35520,34939,1977
9/11/18,Hearthstone,30228,30935,167
9/11/18,Overwatch,28450,27859,1420
9/11/18,PLAYERUNKNOWN'S BATTLEGROUNDS,25653,25093,1247
9/11/18,Destiny 2,22803,20909,1795
9/10/18,League of Legends,128301,130466,2274
9/10/18,Fortnite,124753,126233,7939
9/10/18,Call of Duty: Black Ops 4,82143,81975,594
9/10/18,Dota 2,77499,78701,840
9/10/18,World of Warcraft,74522,73255,1726
9/10/18,IRL,52188,52680,975
9/10/18,PLAYERUNKNOWN'S BATTLEGROUNDS,52372,50592,1674
9/10/18,Marvel's Spider-Man,44418,43801,1280
9/10/18,Hearthstone,42155,41423,301
9/10/18,Casino,38884,38455,101
9/9/18,Call of Duty: Black Ops 4,128487,166255,764
9/9/18,Fortnite,162393,131347,9474
9/9/18,League of Legends,124791,117694,2482
9/9/18,World of Warcraft,91206,93573,2290
9/9/18,Dota 2,82693,84141,927
9/9/18,IRL,65506,67157,1058
9/9/18,PLAYERUNKNOWN'S BATTLEGROUNDS,50522,48965,1763
9/9/18,Hearthstone,36492,35454,306
9/9/18,Destiny 2,32764,33501,906
9/9/18,Marvel's Spider-Man,32417,32983,1389
9/8/18,Fortnite,183771,187007,10005
9/8/18,World of Warcraft,114856,118703,3165
9/8/18,League of Legends,118990,118629,2755
9/8/18,Call of Duty: Black Ops 4,122650,112737,901
9/8/18,Dota 2,98999,100241,912
9/8/18,IRL,56423,55165,1065
9/8/18,PLAYERUNKNOWN'S BATTLEGROUNDS,46331,46484,1924
9/8/18,Marvel's Spider-Man,40365,40552,1629
9/8/18,Destiny 2,40274,40107,1513
9/8/18,Hearthstone,37092,37447,312
9/7/18,Fortnite,193190,188777,10763
9/7/18,Call of Duty: Black Ops 4,148311,146154,971
9/7/18,League of Legends,118336,117473,2694
9/7/18,World of Warcraft,109437,108558,3210
9/7/18,Dota 2,84346,82931,852
9/7/18,IRL,49976,48963,1062
9/7/18,PLAYERUNKNOWN'S BATTLEGROUNDS,43689,43142,1846
9/7/18,Marvel's Spider-Man,41607,41300,1677
9/7/18,Hearthstone,38564,39649,310
9/7/18,Destiny 2,36713,35211,1768
9/6/18,Fortnite,168369,166337,11414
9/6/18,Call of Duty: Black Ops 4,146793,148773,957
9/6/18,League of Legends,123491,121148,2557
9/6/18,World of Warcraft,111455,110953,2751
9/6/18,Dota 2,71028,70990,712
9/6/18,IRL,62656,61564,982
9/6/18,Marvel's Spider-Man,41409,41155,1653
9/6/18,Hearthstone,41839,40296,278
9/6/18,Counter-Strike: Global Offensive,34372,34309,1410
9/6/18,Destiny 2,32351,33404,1826
9/5/18,Fortnite,145321,143678,13574
9/5/18,Call of Duty: Black Ops 4,98140,96090,1092
9/5/18,League of Legends,87569,85432,2373
9/5/18,World of Warcraft,85284,84251,2134
9/5/18,IRL,56429,58490,897
9/5/18,Dota 2,35795,43994,459
9/5/18,Destiny 2,37039,37530,2021
9/5/18,Overwatch,31867,31502,1461
9/5/18,Hearthstone,29484,29578,209
9/5/18,PLAYERUNKNOWN'S BATTLEGROUNDS,26086,29257,1343
